Station ID,Name,Data Source,Latitude,Longitude,Old Province,New Province,Old Amphure,New Amphure,Old Tambon,New Tambon,Formatted Address
1128859,อ.เมืองพัทลุง,TMD,7.6,100.083336,สงขลา,พัทลุง,เมืองสงขลา,อำเภอเมืองพัทลุง,ตำบลตำนาน,ตำนาน,ตำนาน อำเภอเมืองพัทลุง พัทลุง 93000 ประเทศไทย
1128860,ควนขนุน,TMD,7.716667,100.01667,สงขลา,พัทลุง,เมืองสงขลา,อำเภอ ควนขนุน,ตำบลโตนดด้วน,โตนดด้วน,โตนดด้วน อำเภอ ควนขนุน พัทลุง 93110 ประเทศไทย
1128861,ปากพะยูน,TMD,7.316667,100.333336,สงขลา,พัทลุง,เมืองสงขลา,อำเภอ ปากพะยูน,ตำบลปากพะยูน,ปากพะยูน,ปากพะยูน อำเภอ ปากพะยูน พัทลุง 93120 ประเทศไทย
1128862,เขาชัยสน,TMD,7.433333,100.166664,สงขลา,พัทลุง,เมืองสงขลา,อำเภอ บางแก้ว,ตำบลท่ามะเดื่อ,ท่ามะเดื่อ,ท่ามะเดื่อ อำเภอ บางแก้ว พัทลุง ประเทศไทย
1128863,ศูนย์วิจัยข้าวพัทลุง อ.เมือง,TMD,7.6,100.133331,สงขลา,พัทลุง,เมืองสงขลา,อำเภอเมืองพัทลุง,ตำบลควนมะพร้าว,ควนมะพร้าว,ควนมะพร้าว อำเภอเมืองพัทลุง พัทลุง ประเทศไทย
1128864,เขตรักษาพันธุ์สัตว์ป่าเขาบรรทัด อ.เมือง,TMD,7.583333,99.866669,สงขลา,พัทลุง,เมืองสงขลา,อำเภอ ศรีนครินทร์,ตำบลบ้านนา,บ้านนา,บ้านนา ตำบล บ้านนา อำเภอ ศรีนครินทร์ พัทลุง 93000 ประเทศไทย
1128865,หน่วยพิทักษ์ป่าบ้านตะโหมด อ.ตะโหมด,TMD,7.25,100.033333,สงขลา,พัทลุง,เมืองสงขลา,อำเภอ ตะโหมด,ตำบลตะโหมด,ตะโหมด,ตะโหมด อำเภอ ตะโหมด พัทลุง ประเทศไทย
1128866,หน่วยพิทักษ์ป่าบ้านพูด อ.กงหรา,TMD,7.516667,99.933334,สงขลา,พัทลุง,เมืองสงขลา,อำเภอ ศรีนครินทร์,ตำบลลำสินธุ์,ลำสินธุ์,ลำสินธุ์ อำเภอ ศรีนครินทร์ พัทลุง 93000 ประเทศไทย
1128867,หน่วยพิทักษ์ป่าบ้านโตน อ.เมือง,TMD,7.4,100.033333,สงขลา,พัทลุง,เมืองสงขลา,อำเภอ เขาชัยสน,ตำบลโคกม่วง,โคกม่วง,โคกม่วง อำเภอ เขาชัยสน พัทลุง ประเทศไทย
1128868,ตะโหมด,TMD,7.283333,100.050003,สงขลา,พัทลุง,เมืองสงขลา,อำเภอ ตะโหมด,ตำบลตะโหมด,ตะโหมด,ตะโหมด อำเภอ ตะโหมด พัทลุง ประเทศไทย
